Articles,de,fr,es,it,sv,nl,pl,ru,en
5G,,5G,Telefonía_móvil_5G,5G,5G,5G,,5G,5G
Ad_hoc_network,,,,,,,,,Ad_hoc_network
Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard,Advanced_Encryption_Standard
Algorithm,Algorithmus,Algorithme,Algoritmo,Algoritmo,Algoritm,Algoritme,Algorytm,Алгоритм,Algorithm
Amazon_(company),Amazon.com,Amazon_(entreprise),Amazon,Amazon.com,Amazon.com,Amazon.com,Amazon.com,Amazon_(компания),Amazon_(company)
Apple_Inc.,Apple,Apple,Apple,Apple,Apple_Inc.,Apple_Inc.,Apple_Inc.,Apple,Apple_Inc.
Application_programming_interface,Programmierschnittstelle,Interface_de_programmation,Interfaz_de_programación_de_aplicaciones,Application_programming_interface,Application_Programming_Interface,Application_programming_interface,Interfejs_programowania_aplikacji,API,Application_programming_interface
Application-specific_integrated_circuit,Anwendungsspezifische_integrierte_Schaltung,Application-specific_integrated_circuit,Circuito_integrado_de_aplicación_específica,Application_specific_integrated_circuit,ASIC,ASIC,Specjalizowany_układ_scalony,Интегральная_схема_специального_назначения,Application-specific_integrated_circuit
Artificial_intelligence,Künstliche_Intelligenz,Intelligence_artificielle,Inteligencia_artificial,Intelligenza_artificiale,Artificiell_intelligens,Kunstmatige_intelligentie,Sztuczna_inteligencja,Искусственный_интеллект,Artificial_intelligence
Artificial_neural_networ,,,,,,,,,Artificial_neural_networ
Augmented_reality,Erweiterte_Realität,Réalité_augmentée,Realidad_aumentada,Realtà_aumentata,Förstärkt_verklighet,Toegevoegde_realiteit,Rzeczywistość_rozszerzona,Дополненная_реальность,Augmented_reality
Authentication,Authentifizierung,Facteur_d'authentification,Autenticación,Autenticazione,Autentisering,Authenticatie,Uwierzytelnianie,Аутентификация,Authentication
Automated_reasoning,,Raisonnement_automatisé,Razonamiento_automático,Ragionamento_automatico,,,,,Automated_reasoning
Automation,Automatisierung,Automation,Automatización_industrial,Automazione,Automation,Automatisering,Automatyzacja,Автоматизация,Automation
Autonomous_car,Selbstfahrendes_Kraftfahrzeug,Véhicule_autonome,Vehículo_autónomo,Autovettura_autonoma,Självkörande_bil,Zelfsturende_auto,Samochód_bezzałogowy,Беспилотный_автомобиль,Autonomous_car
Autonomous_car,Selbstfahrendes_Kraftfahrzeug,Véhicule_autonome,Vehículo_autónomo,Autovettura_autonoma,Självkörande_bil,Zelfsturende_auto,Samochód_bezzałogowy,Беспилотный_автомобиль,Autonomous_car
Back-to-back_user_agent,,IP_Multimedia_Subsystem,,,,,,B2BUA,Back-to-back_user_agent
Big_data,Big_Data,Big_data,Macrodatos,Big_data,Big_data,Big_data,Big_data,Большие_данные,Big_data
Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Bitcoin,Биткойн,Bitcoin
Blockchain,Blockchain,Blockchain,Cadena_de_bloques,Blockchain,Blockkedja,Blockchain,Blockchain,Блокчейн,Blockchain
Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol,Border_Gateway_Protocol
Botnet,Botnet,Botnet,Botnet,Botnet,Botnet,Botnet,Botnet_(bezpieczeństwo_komputerowe),Ботнет,Botnet
Brain-computer_interface,,,,,,,,,Brain-computer_interface
C-RAN,,,,,,,,,C-RAN
C2Net,,,,,,,,,C2Net
Carrier_Ethernet,,,,,,,Carrier_Ethernet,,Carrier_Ethernet
CBOR,,,,,,,,,CBOR
Chatbot,Chatbot,Agent_conversationnel,Bot_conversacional,Chatterbot,,Chatbot,Chatbot,Виртуальный_собеседник,Chatbot
Classless_Inter-Domain_Routing,Classless_Inter-Domain_Routing,,Classless_Inter-Domain_Routing,Supernetting#CIDR,Classless_Inter-Domain_Routing,Classless_Inter-Domain_Routing,Classless_Inter-Domain_Routing,Бесклассовая_адресация,Classless_Inter-Domain_Routing
Cloud_computing,Cloud_Computing,Cloud_computing,Computación_en_la_nube,Cloud_computing,Datormoln,Cloud_computing,Chmura_obliczeniowa,Облачные_вычисления,Cloud_computing
Cloud_computing,Cloud_Computing,Cloud_computing,Computación_en_la_nube,Cloud_computing,Datormoln,Cloud_computing,Chmura_obliczeniowa,Облачные_вычисления,Cloud_computing
Cloudlet,,,,,,,,,Cloudlet
Cognitive_robotics,,,Robótica_cognitiva,,,,,,Cognitive_robotics
Community_cloud,,,,,,,,,Community_cloud
Computational_trust,,,,,,,,,Computational_trust
Computer_network,Rechnernetz,Réseau_informatique,Red_de_computadoras,Rete_di_computer,Datornätverk,Computernetwerk,Sieć_komputerowa,Вычислительная_сеть,Computer_network
Computer_security,,Sécurité_des_systèmes_d'information,Seguridad_informática,Sicurezza_informatica,Datasäkerhet,Computerbeveiliging,Bezpieczeństwo_teleinformatyczne,Компьютерная_безопасность,Computer_security
Computer_vision,,Vision_par_ordinateur,Visión_artificial,Visione_artificiale,Datorseende,,Rozpoznawanie_obrazów,Компьютерное_зрение,Computer_vision
Connected_car,Connected_car,Véhicule_connecté,Vehículo_conectado,,,,,,Connected_car
Connectionless_communication,,Transmission_en_mode_sans_connexion,,Comunicazione_senza_connessione,,,,,Connectionless_communication
Constrained_Application_Protocol,Constrained_Application_Protocol,CoAP,,,,,,,Constrained_Application_Protocol
Content_delivery_network,Content_Delivery_Network,Réseau_de_diffusion_de_contenu,Red_de_entrega_de_contenidos,Content_Delivery_Network,Innehållsleveransnätverk,Content_delivery_network,Content_Delivery_Network,Content_Delivery_Network,Content_delivery_network
Context_awareness,Kontextsensitivität_(Informatik),,,,,,,,Context_awareness
Contextual_searching,,,,,,,,,Contextual_searching
Control_plane,,Plan_de_contrôle,,,,,,,Control_plane
Conversational_Monitor_System,Conversational_Monitor_System,Conversation_Monitor_System,,,,,,,Conversational_Monitor_System
Core_router,,,,,,,,,Core_router
Cryptocurrency,Kryptowährung,Cryptomonnaie,Criptomoneda,Criptovaluta,Kryptovaluta,Cryptogeld,Kryptowaluta,Криптовалюта,Cryptocurrency
Cryptographic_protocol,Verschlüsselungsprotokoll,,Protocolo_criptográfico,,,Cryptografisch_protocol,Protokół_kryptograficzny,Криптографический_протокол,Cryptographic_protocol
Cryptography,Kryptographie,Cryptographie,Criptografía,Crittografia,Kryptografi,Cryptografie,,Криптография,Cryptography
Cryptography,Kryptographie,Cryptographie,Criptografía,Crittografia,Kryptografi,Cryptografie,,Криптография,Cryptography
Cyber-physical_system,Cyber-physisches_System,Système_cyber-physique,Sistema_ciberfísico,Sistema_ciberfisico,,,,Киберфизическая_система,Cyber-physical_system
Cyberattack,Cyberattacke,Cyberattaque,,Attacco_informatico,,,,Атака_на_информационную_систему,Cyberattack
Dark_web,,Dark_web,Dark_web,Dark_web,,Dark_web,Szary_internet,,Dark_web
Data_aggregation,Aggregation_(Informatik),,,,,,Agregacja_(programowanie_obiektowe),Агрегирование_(программирование),Data_aggregation
Data_analysis,Datenanalyse,Analyse_des_données,Análisis_de_datos,Analisi_dei_dati,,,Analiza_danych,Анализ_данных,Data_analysis
Data_center,Rechenzentrum,Centre_de_données,Centro_de_procesamiento_de_datos,Centro_elaborazione_dati,Datorhall,Datacenter,Centrum_danych,Дата-центр,Data_center
Data_compression,Datenkompression,Compression_de_données,Compresión_de_datos,Compressione_dei_dati,Datakompression,Datacompressie,Kompresja_(informatyka),Сжатие_данных,Data_compression
Data_compression,Datenkompression,Compression_de_données,Compresión_de_datos,Compressione_dei_dati,Datakompression,Datacompressie,Kompresja_(informatyka),Сжатие_данных,Data_compression
Data_compression,Datenkompression,Compression_de_données,Compresión_de_datos,Compressione_dei_dati,Datakompression,Datacompressie,Kompresja_(informatyka),Сжатие_данных,Data_compression
Data_exchange,Datenaustausch,,,,,,,,Data_exchange
Data_Integrity,,,,,,,,,Data_Integrity
Data_lake,,Lac_de_données,,,,,,,Data_lake
Data_masking,Data_Masking,,Enmascaramiento_de_datos,,,,,Маскировка_данных,Data_masking
Data_mining,Data-Mining,Exploration_de_données,Minería_de_datos,Data_mining,Datautvinning,Datamining,Eksploracja_danych,Data_mining,Data_mining
Data_Plane_Development_Kit,,,,,,,,,Data_Plane_Development_Kit
Data_visualization,Informationsvisualisierung,Visualisation_de_données,Visualización_de_datos,,,Datavisualisatie,,Визуализация_данных,Data_visualization
Dataflow,Datenfluss,,,Dataflow_(microprocessori),,,,,Dataflow
Datagram_Transport_Layer_Security,Datagram_Transport_Layer_Security,Datagram_Transport_Layer_Security,Datagram_Transport_Layer_Security,,,,,DTLS,Datagram_Transport_Layer_Security
Debian,Debian,Debian,Debian,Debian,Debian_GNU/Linux,Debian,Debian,Debian,Debian
Deep_web,Deep_Web,Web_profond,Internet_profunda,Web_sommerso,Deep_web,Deep_web,Ukryta_sieć,Глубокая_паутина,Deep_web
Denial-of-service_attack,Denial_of_Service,Attaque_par_déni_de_service,Ataque_de_denegación_de_servicio,Denial_of_service,Denial_of_Service,Denial-of-service,DoS,DoS-атака,Denial-of-service_attack
Digital_currency,,,Moneda_digital,,Digital_valuta,,,Цифровая_валюта,Digital_currency
Digital_electronics,Digitaltechnik,Électronique_numérique,Electrónica_digital,Elettronica_digitale,Digitalteknik,,Elektronika_cyfrowa,Цифровые_технологии,Digital_electronics
Digital_modeling_and_fabrication,,,,Fabbricazione_digitale,,,,,Digital_modeling_and_fabrication
Digital_signature,Digitale_Signatur,Signature_numérique,Firma_digital,Firma_digitale,Digital_signatur,Digitale_handtekening,Podpis_cyfrowy,Электронная_подпись,Digital_signature
Digital_twin,Digitaler_Zwilling,Jumeau_numérique,,,,,,,Digital_twin
Distributed_computing,Verteiltes_System,Calcul_distribué,Computación_distribuida,Calcolo_distribuito,Distributed_computing,Distributed_computing,Obliczenia_rozproszone,Распределённые_вычисления,Distributed_computing
Distributed_computing,Verteiltes_System,Calcul_distribué,Computación_distribuida,Calcolo_distribuito,Distributed_computing,Distributed_computing,Obliczenia_rozproszone,Распределённые_вычисления,Distributed_computing
Distributed_ledger,Distributed-Ledger-Technologie,,,,,,Distributed_Ledger_Technology,,Distributed_ledger
Docker_(software),Docker_(Software),Docker_(logiciel),Docker_(software),Docker,,,Docker_(oprogramowanie),Docker,Docker_(software)
DOCSIS,Data_Over_Cable_Service_Interface_Specification,Data_Over_Cable_Service_Interface_Specification,DOCSIS,,DOCSIS,Data_Over_Cable_Service_Interface_Specification,DOCSIS,DOCSIS,DOCSIS
Domain_name_registry,Domain-Registrierung,Registre_de_noms_de_domaine,Registro_de_dominios,,,Domeinnamenregister,,Регистрация_доменов,Domain_name_registry
Domain_Name_System,Domain_Name_System,Domain_Name_System,Sistema_de_nombres_de_dominio,Domain_Name_System,Domännamnssystemet,Domain_Name_System,Domain_Name_System,DNS,Domain_Name_System
Domain_Name_System_Security_Extensions,Domain_Name_System_Security_Extensions,Domain_Name_System_Security_Extensions,Domain_Name_System_Security_Extensions,DNSSEC,DNS#DNSSEC,DNSSEC,DNSSEC,DNSSEC,Domain_Name_System_Security_Extensions
Dynamic_Host_Configuration_Protocol,Dynamic_Host_Configuration_Protocol,Dynamic_Host_Configuration_Protocol,Protocolo_de_configuración_dinámica_de_host,Dynamic_Host_Configuration_Protocol,Dynamic_Host_Configuration_Protocol,Dynamic_Host_Configuration_Protocol,Dynamic_Host_Configuration_Protocol,DHCP,Dynamic_Host_Configuration_Protocol
Dynamic_spectrum_management,Dynamic-Spectrum-Management,Dynamic_spectrum_management,,Dynamic_Spectrum_Management,,,,,Dynamic_spectrum_management
E-services,E-Services,,,,,,E-usługa,,E-services
EAP,EAP,EAP,EAP,EAP,EAP,,EAP,,EAP
Edge_computing,Edge_Computing,Edge_computing,,,,,,,Edge_computing
Electronic_identification,,Carte_d'identité_électronique,Documento_de_identidad_electrónico,Carta_d'identità_elettronica,E-legitimation,E-ID,,,Electronic_identification
Electronic_Product_Code,Elektronischer_Produktcode,Code_produit_électronique,Código_electrónico_de_producto,,,Electronic_Product_Code,,Electronic_Product_Code,Electronic_Product_Code
Encryption,Verschlüsselung,Chiffrement,Cifrado,,Kryptering,Encryptie,,Шифрование,Encryption
Equal-cost_multi-path_routing,,,,Equal-cost_multi-path_routing,,,,,Equal-cost_multi-path_routing
Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum
Eye_tracking,Eye-Tracking,Oculométrie,Seguimiento_de_ojos,Oculometria,Eye_tracking,,Okulografia,Окулография,Eye_tracking
Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook
Financial_technology,Finanztechnologie,Technologie_financière,Tecnología_financiera,Tecnofinanza,Fintech,,,Финансовые_технологии,Financial_technology
Fog_computing,,Fog_computing,,Fog_computing,,,,,Fog_computing
Global_Positioning_System,Global_Positioning_System,Global_Positioning_System,Sistema_de_posicionamiento_global,Sistema_di_posizionamento_globale,Global_Positioning_System,Global_positioning_system,Global_Positioning_System,GPS,Global_Positioning_System
Google,Google_LLC,Google,Google,Google_(azienda),Google,Google_LLC,Google,Google_(компания),Google
GOST,Gossudarstwenny_Standart,Standards_d'État_dans_la_Fédération_de_Russie,GOST,,,,Standard_Państwowy_w_Federacji_Rosyjskiej_(GOST),Межгосударственный_стандарт,GOST
GSM,Global_System_for_Mobile_Communications,Global_System_for_Mobile_Communications,Sistema_global_para_las_comunicaciones_móviles,Global_System_for_Mobile_Communications,GSM,Gsm_(communicatie),GSM,GSM,GSM
Guix_System_Distribution,Guix_System_Distribution,GuixSD,,,,,,,Guix_System_Distribution
Homomorphic_encryption,Homomorphe_Verschlüsselung,Chiffrement_homomorphe,Cifrado_homomórfico,Crittografia_omomorfica,,Homomorfe_encryptie,Szyfrowanie_homomorficzne,Гомоморфное_шифрование,Homomorphic_encryption
Human-computer_interaction,,,,,,,,,Human-computer_interaction
Hyperledger,,Hyperledger,Hyperledger,Hyperledger,,,,,Hyperledger
Hypertext_Transfer_Protocol,Hypertext_Transfer_Protocol,Hypertext_Transfer_Protocol,Protocolo_de_transferencia_de_hipertexto,Hypertext_Transfer_Protocol,Hypertext_Transfer_Protocol,Hypertext_Transfer_Protocol,Hypertext_Transfer_Protocol,HTTP,Hypertext_Transfer_Protocol
Identifier_Separation_Protocol,,,,,,,,,Identifier_Separation_Protocol
Identity_management,Identitätsmanagement,Gestion_des_identités_et_des_accès,Administración_de_identidades,Identity_management,,Gebruikersbeheer,Zarządzanie_tożsamością,Управление_учётными_данными,Identity_management
Identity_management_system,,,,,,,System_zarządzania_tożsamością,,Identity_management_system
IDMS,,IDMS,,,,,,,IDMS
IEEE_802.11,IEEE_802.11,IEEE_802.11,IEEE_802.11,IEEE_802.11,IEEE_802.11,IEEE_802.11,IEEE_802.11,IEEE_802.11,IEEE_802.11
IEEE_802.15,,,IEEE_802.15,,IEEE_802.15,,,IEEE_802.15,IEEE_802.15
Incident_Object_Description_Exchange_Format,,IODEF_:_Incident_Object_Description_Exchange_Format,,,,,,,Incident_Object_Description_Exchange_Format
Industry_4.0,Industrie_4.0,Industrie_4.0,Industria_4.0,Industria_4.0,Industri_4.0,Smart_Industry,Czwarta_rewolucja_przemysłowa,Четвёртая_промышленная_революция,Industry_4.0
Information_and_communications_technology,Informations-_und_Kommunikationstechnik,Technologies_de_l'information_et_de_la_communication,Tecnologías_de_la_información_y_la_comunicación,Tecnologie_dell'informazione_e_della_comunicazione,IKT,,Teleinformatyka,,Information_and_communications_technology
Institute_of_Electrical_and_Electronics_Engineers,Institute_of_Electrical_and_Electronics_Engineers,Institute_of_Electrical_and_Electronics_Engineers,Institute_of_Electrical_and_Electronics_Engineers,Institute_of_Electrical_and_Electronics_Engineers,Institute_of_Electrical_and_Electronics_Engineers,Institute_of_Electrical_and_Electronics_Engineers,Instytut_Inżynierów_Elektryków_i_Elektroników,Институт_инженеров_электротехники_и_электроники,Institute_of_Electrical_and_Electronics_Engineers
Integrated_Services_Digital_Network,Integrated_Services_Digital_Network,Réseau_numérique_à_intégration_de_services,Red_digital_de_servicios_integrados,Integrated_Services_Digital_Network,Integrated_Services_Digital_Network,Integrated_Services_Digital_Network,Integrated_Services_Digital_Network,ISDN,Integrated_Services_Digital_Network
Intelligent_environment,,,Ambiente_inteligente,,,,,,Intelligent_environment
Internet,Internet,Internet,Internet,Internet,Internet,Internet,Internet,Интернет,Internet
Internet_backbone,Internet-Backbone,Dorsale_Internet,Backbone,Dorsale_(informatica),Stamnät_(dator),Backbone,,Опорные_сети_Интернета,Internet_backbone
Internet_Engineering_Task_Force,Internet_Engineering_Task_Force,Internet_Engineering_Task_Force,Grupo_de_Trabajo_de_Ingeniería_de_Internet,Internet_Engineering_Task_Force,Internet_Engineering_Task_Force,Internet_Engineering_Task_Force,Internet_Engineering_Task_Force,Инженерный_совет_Интернета,Internet_Engineering_Task_Force
Internet_exchange_point,Internet-Knoten,Internet_Exchange_Point,Punto_neutro,Internet_Exchange_Point,Internetknutpunkt,Internet_exchange,Internet_Exchange_Point,Точка_обмена_интернет-трафиком,Internet_exchange_point
Internet_Key_Exchange,Internet_Key_Exchange,Internet_Key_Exchange,Internet_key_exchange,Internet_key_exchange,,,Internet_Key_Exchange,IKE,Internet_Key_Exchange
Internet_Key_Exchange,Internet_Key_Exchange,Internet_Key_Exchange,Internet_key_exchange,Internet_key_exchange,,,Internet_Key_Exchange,IKE,Internet_Key_Exchange
Internet_of_things,Internet_der_Dinge,Internet_des_objets,Internet_de_las_cosas,Internet_delle_cose,Sakernas_internet,Internet_der_dingen,Internet_rzeczy,Интернет_вещей,Internet_of_things
Internet_Protocol,Internet_Protocol,Internet_Protocol,Protocolo_de_Internet,Internet_Protocol,Internetprotokoll,Internetprotocol,Protokół_internetowy,IP,Internet_Protocol
Internet_protocol_suite,Internetprotokollfamilie,Suite_des_protocoles_Internet,Familia_de_protocolos_de_Internet,Suite_di_protocolli_Internet,TCP/IP,TCP/IP,Model_TCP/IP,TCP/IP,Internet_protocol_suite
Internet_Research_Task_Force,Internet_Research_Task_Force,,Internet_Research_Task_Force,Internet_Research_Task_Force,,,Internet_Research_Task_Force,IRTF,Internet_Research_Task_Force
Internet_service_provider,Internetdienstanbieter,Fournisseur_d'accès_à_Internet,Proveedor_de_servicios_de_Internet,Internet_service_provider,Internetleverantör,Internetprovider,Dostawca_usług_internetowych,Интернет-провайдер,Internet_service_provider
Internet_service_provider,Internetdienstanbieter,Fournisseur_d'accès_à_Internet,Proveedor_de_servicios_de_Internet,Internet_service_provider,Internetleverantör,Internetprovider,Dostawca_usług_internetowych,Интернет-провайдер,Internet_service_provider
